label,message
ham,"Hi there, how are you doing today?"
spam,Congratulations! You won a free ticket to Bahamas. Call now!
ham,Are we still meeting tomorrow for lunch?
ham,Don't forget to bring the documents.
spam,You have been selected for a cash prize. Reply YES to claim.
spam,Get a free entry to the movie night! Text WIN to 12345.
ham,Please call me when you get this message.
spam,Earn money from home! No experience required.
ham,Let's catch up over coffee this weekend.
spam,Limited time offer! Buy 1 get 1 free.
